,neighborhood_overview,review_scores_location
63935,Neighbours are quiet  polite  clean building  safe   easy to get around  with access to all major key points of the city ,5
63943,Hackney is a bustling  creative   with a vibrant art and music scene  excellent restaurants and cafes and really  transport links into central London and easy access to all London airports    We love the local parks  We are a 10     from Victoria Park (one of the most beautiful parks in London)  Hackney Marches (a sprawling nature reserve a ten      )  the Olympic Park (a short cycle or two stops on the Overground to Stratford)  as   as   other smaller green spaces    The  Overground stations of Homerton or Hackney Central connect brilliantly with the Underground network  so you can get anywhere in central or west London with ease    Wintergreen Court is a family friendly complex with shared outside space where kids regularly play together ,5
63951,East Ham High Street opens up to various stores like argos  primark  JD sport  tesco express and others ,5
63960,Ideally situated   to Cafe's and Restaurants such as Mortar and Pestle Thai Restaurant  Ali Baba Restaurant Middle Eastern food  The Potting Shed English Menu   Local park's all       The Japanese Garden Island  The Royal Park and Regents Park with the open air theatre   Local supermarkets - Co- Operative and Tesco Express (3   )   st stunning spa -Thai London Therapy Marylebone (10   )  15     to Oxford Street and Marble Arch  It is also around 15   Tube journey to major attraction Harrods  Piccadilly Circus  different London museums  Buckingham Palace  and Big Ben ,5
63962,Ideally situated   to Cafe's and Restaurants such as Mortar and Pestle Thai Restaurant  Ali Baba Restaurant Middle Eastern food  The Potting Shed English Menu   Local park's all       The Japanese Garden Island  The Royal Park and Regents Park with the open air theatre   Local supermarkets - Co- Operative and Tesco Express (3   )   st stunning spa -Thai London Therapy Marylebone (10   )  15     to Oxford Street and Marble Arch  It is also around 15   Tube journey to major attraction Harrods  Piccadilly Circus  different London museums  Buckingham Palace  and Big Ben ,5
63965,Right in the heart of London  Kensington   only moments   from High Street Kensington and Knightsbridge Stations  Harrods  Royal Albert Hall and   to the beautiful Hyde Park and its Kensington Palace  this home is the perfect location for friends or family  Both Holland Park and Notting Hill are a few      and you are surrounded by hundreds of  restaurants and bars  The   is famed for them  With so   tube stations a few steps    you have easy access to anywhere in London and can   to most  s of central London in under 25   ,5
63973,Archway is a bustling city centre and there are   supermarkets  pubs  caf猫s and restaurants on your doorstep  All of London is accessible via the  underground  and Camden Town and Hampstead Heath are a short bus-ride    The beautiful Waterlow Park and Highgate Village are just a   up the hill  as is the famous Highgate Cemetery  Archway is a  base from which to explore London ,5
63978,The high street is located only a 3-       where you can find everything from the supermarkets to a wide range of restaurants offering a variety of cuisines such as Japanese  Italian  Indian  Lebanese and   more   Our top pics are  Breakfast  Maroush  Over Under  Dolci Cofee   Juice  Lunch  Maroush  Kappa  Franco Manca  Nandos  Dinner  Zizzi  Masala  The Troubadour Restaurant (famous for its music and excellent food)   Don__ forget to check out The Prince   located just a 10-       this   has recently been converted into a breautiful garden square and  restraurants    Kensington and Chelsea is a fantastic launching point for discovering the best of central London    Earl's Court is a residential   with a rich history and a wide variety of fantastic local amenities  The high street has restaurants offering cuisine from all over the world  traditional pubs  shops  a gym and a tube station with D,5
63983,Ideally situated   to Cafe's and Restaurants such as Mortar and Pestle Thai Restaurant  Ali Baba Restaurant Middle Eastern food  The Potting Shed English Menu   Local park's all       The Japanese Garden Island  The Royal Park and Regents Park with the open air theatre   Local supermarkets - Co- Operative and Tesco Express (3   )   st stunning spa -Thai London Therapy Marylebone (10   )  15     to Oxford Street and Marble Arch  It is also around 15   Tube journey to major attraction Harrods  Piccadilly Circus  different London museums  Buckingham Palace  and Big Ben ,5
63984,Ideally situated   to Cafes and Restaurants such as Mortar and Pestle Thai Restaurant  Ali Baba Restaurant Middle Eastern food  The Potting Shed English Menu   Local park's all       The Japanese Garden Island  The Royal Park and Regents Park with the open air theatre   Local supermarkets - Co- Operative and Tesco Express (3   )   st stunning spa -Thai London Therapy Marylebone (10   )  15      to Oxford Street and Marble Arch  It is also around 15   Tube journey to major attraction Harrods  Piccadilly Circus  different London museums  Buckingham Palace  and Big Ben ,5
63992,Ideally situated   to Cafe's and Restaurants such as Mortar and Pestle Thai Restaurant  Ali Baba Restaurant Middle Eastern food  The Potting Shed English Menu   Local park's all       The Japanese Garden Island  The Royal Park and Regents Park with the open air theatre   Local supermarkets - Co- Operative and Tesco Express (3   )   st stunning spa -Thai London Therapy Marylebone (10   )  15     to Oxford Street and Marble Arch  It is also around 15   Tube journey to major attraction Harrods  Piccadilly Circus  different London museums  Buckingham Palace  and Big Ben  Hide,5
63994,Ideally situated   to Cafe's and Restaurants such as Mortar and Pestle Thai Restaurant  Ali Baba Restaurant Middle Eastern food  The Potting Shed English Menu   Local park's all       The Japanese Garden Island  The Royal Park and Regents Park with the open air theatre   Local supermarkets - Co- Operative and Tesco Express (3   )   st stunning spa -Thai London Therapy Marylebone (10   )  15     to Oxford Street and Marble Arch  It is also around 15   Tube journey to major attraction Harrods  Piccadilly Circus  different London museums  Buckingham Palace  and Big Ben ,5
64006,Perfect central London location - Sainsbury  Local 1       - Some of the best restaurants in London are   a few       (St  John  Modern Pantry  Foxlow  Sushi Tetsu  Burger and Lobster  Jerusalem Tavern  Smiths of Smithfield  Bird of Smithfield) - 2     to Exmouth Market - with plenty of restaurants to choose from and amazing to go food's - 15     to Angel - where you'll find cinemas  restaurants  shops  etc ,5
64007,A block   from world famous Portobello market short   to Notting Hill in historical Ladbroke Grove    to Hammersmith and Circle/District Tube Station  convenient to   bus lines   spot in West London ,5
64009,Perfect central London location - Sainsbury  Local 1       - Some of the best restaurants in London are   a few       (St  John  Modern Pantry  Foxlow  Sushi Tetsu  Burger and Lobster  Jerusalem Tavern  Smiths of Smithfield  Bird of Smithfield) - 2     to Exmouth Market - with plenty of restaurants to choose from and amazing to go food's - 15     to Angel - where you'll find cinemas  restaurants  shops  etc ,5
64010,2     to St  John  wood high street which boast from vibrant cafes  restaurants and boutiques  also   10       to lords cricket  Regent  Park  primrose hill  ASL school  ZSL London Zoo  and the famous RAK and Abby Road Studios  The tube station (jubilee line) provides  transport to Oxford or bond streets shopping meccas (10    ) and   more famous attractions such as Madam Tussaud   Sherlock Holmes Museum  and Camden Market Suitable for single or 2 travelers the   offers full amenities equipped with a    stocked kitchen and other treats for a comfortable stay  There is plenty of cupboards  seating and work   for the leisure or business traveler  Off street parking (pay   display) is available - private secure underground parking can be arranged in the next building for an additional charge,5
64011,Famous shopping streets such as Oxford Street  Bond Street  Dover Street  Mount Street and Regent Street  as   as Green Park  Buckhingam Palace and   more are all in    s from the apartment   Grocery stores (Tesco Express  Sainsbury's  Marks   Spencer) are also 2-3     ,5
64015,The neighborhood is an extremely good   to explore London  It is in the heart of the city and   to all the fun and tourist attractions  You will have easy access to parks  museums  tourist hot spots  restaurants  shopping centers  and the regent's canal all   a 2   ,5
64017,In the heart of Southwark    from London Bridge station and Tower Bridge  Borough embodies central London living at its best  The   gets its name from a time when it was the only borough outside the City of London  Beyond the jurisdiction of the City authorities  in the 16th and 17th centuries the   was a playground famed for its inns  theatres and the notorious Southwark Fair which was shut down in 1762 after being deemed too debauched  It retains enormous character in   of its buildings  streets and shops  and a  mix of cultural opportunities remain  There are famous theatres  you__e never more than a brisk     from wonderful pubs dating back to medieval times  and it  home to Borough Market  the Tate Modern and Europe  tallest building  The Shard  The added appeal of Borough to those living or working in the   is the proximity to London Bridge and Waterloo  The   has a diverse population  with a large creative community  City workers and long time r,5
64032,Kings Cross is a district in Central London  north of Charing Cross  It is served by London King's Cross railway station  the ter us of one of the major rail routes between London and the North  The   has been regenerated since the mid-1990s with the ter us of the Eurostar rail service at St Pancras International opening in 2007 and the rebuilding of King's Cross station  a major redevelopment in the north of the     The   has increasingly become home to cultural establishments  The London Canal Museum opened in 1992  and in 1997 a new home for the British Library opened next to St Pancras Station  The Gagosian Gallery moved their main London premises to the   in 2004  The London Sinfonietta and the Orchestra of the Age of Enlightenment are based in King's Place  on Battlebridge Basin next to the Regent's Canal  King's Place is also the home of The Guardian and The Observer newspapers  and of the UK Drug Policy Commission   In September 2011 the,5
64036,Brixton and Clapham are both very lively  s  Brixton is ideal if you are a huge foodie with Brixton market and Brixton village  Lots of Green space with Clapham common and  brunch places around Clapham old town ,5
64042,This apartment is located   the Notting Hill    This is a beautiful part of London which which harmonises peaceful and luxurious homes with a buzzing social scene around the Portobello Road    Notting Hill is primarily known for its famous film which was filmed there  However there is much more to the   than that  There are plenty of bars and restaurants which are busy throughout the week with young professionals and families alike  Take a trip to Portobello Road for the best selection of unique shops - including the best doorknob shop in London   https //www airbnb  co  uk/locations/london/notting-hill,5
64044,it is in the Royal Borough of Kensington and Chelsea  it is very central ,5
64053,Our home is located at the heart of Whitechapel  on a quiet residential street  few     from the hustle and bustle of Whitechapel High Street  Shoreditch  Spitalfields  Brick Lane  The City  Tower of London and Canary Wharf can be reached in 20   by public transports   For visitors to the Royal London Hospital  we are just a 6         With its huge selection of restaurants  bars  pubs  shops  markets  and galleries  we think East London is the most exciting part of London to explore (bias? )  The fascinating history of London can be discovered all around Whitechapel  from the Roman road to the medieval Tower of London  mysterious Jack the Ripper case  Victorian Tower Bridge and   more   Runners and nature lovers will enjoy the   proximity to Victoria Park  Regent's Canal   Lime  Basin  the River Thames and Stepney City Farm which are all about 20  '      Fans of Park Runs can join the  Mile End Park Run  taking,5
64057,Amazingly   located  less than 10       from Portobello Market and Kensington Palace and almost right next to Notting Hill Gate tube station  you just have to step outside to be in the midst of London's bustle ,5
64058,If it's food  drink  wine bars or even gigs you're in the right place to easily get about    Broadway Market is a 5     through the park  providing everything  Eat Street basically    Hackney Central  offers your larger shopping stores    There is bike hire at the entrance of the park to see even more on your visit    Or even if you just want to sit in the park its right at your door step  ),5
64062,Frankie Says_maps  don__ do it  This is where the Good Stuff  at   Frankie Says   there  no FOMO in Fitzrovia  This is the sweet spot for a lively London stopover  Set in central London  buzzing West End  Fitzrovia is a treasure trove of activities and attractions   For world-class shopping  head to  Tottenham Court Road  home to a wealth of  -known brands  10  _     are top entertainment hubs like Oxford Circus and Soho  and if you__e keen to splash the cash  Bond Street  home to bling retailers like Chanel  Jimmy Choo and Tiffany   Co    Must-see Landmarks  You__e also   strolling   of several iconic landmarks  including Trafalgar Square  Chinatown  the British Museum  Leicester Square  Hyde Park  the BT Tower  plus   more   With several tube stations on your doorstep _ Goodge Street station is just five  _   _ it  easy to swoosh across London to savour more spectacular sights  lik,5
64067,Very quiet apartment with beautiful private roof terrace  yet located on the Lovely Westbourne Grove which is bustling with restaurants and cafes,5
64068, location   Coffee shops are   by  and   to transport   Underground (central  hammersmith and City line),5
64073,Filled with restaurants from every corner of the world  cafes  bubble tea and much more  grocery shops are all     from the property  Hyde Park id your back garden and if you need to get any where  no problem  The station is moments   and you are   connected ,5
64084,Plenty of local groceries shops and cafe near by you are never far from quenching your foodie desires or caffeine fix  Its a beautiful   with typical London style buildings which makes the   edgy and exciting to explore ,5
64089,Shoreditch is a district in the East End of London in Zone 1  It has been known as an entertainment quarter since the 16th century  and today hosts a number of pubs  nightclubs and bars  while to the east of Shoreditch High Street and north of Brick Lane it is primarily a residential    The   straddles Old Street  Shoreditch High Street and west of Brick Lane  and includes Shoreditch Church  Boxpark and Hoxton Square  It lies immediately to the north and north east of the City of London and Spitalfields  and south and west of Bethnal Green   By day and night  Shoreditch is bursting with opportunities to indulge in its variety of dining and entertainment options  Hipsters adore this eclectic pocket of East London  s  and   see it as the birthplace of English theatre and the cultivator of London fashion and street art   Street artists flock from around the world to add their unique signature to the    from the sea of stickers on Brushfield Str,5
64093,The   is in a quiet  tree-lined residential street    to (recently regenerated) Streatham Hill /High Street giving you easy access to shops  cinema  gym  restaurants and bars  and wonderful parks ,5
64108,East Village is a brilliant location located a stones throw from the Olympic Park with its array of sports and cultural facilities   There  plenty to do no matter what you fancy from  s through the vast green spaces  river and canal to dinner and drinks in the bars and restaurants   On the doorstep we also have Westfield Shopping Centre ,5
64122,The   is also a 30-second   to the River Thames and the towpath  which is wonderful for a    There are some  pubs and restaurants in the    including The Crabtree pub (at the end of the road) and Mes Amis ,5
64127,Located just south of Waterloo  Elephant and Castle is one of those rare London  s which boasts a central location and excellent transport links  A  new wave of young Londoners who might previously have chosen East or North London are now descending on Elephant and Castle  bringing a creative energy and new independent businesses with them such as those found in The Artworks hub (think yoga studios  Mauritian cafes  and vintage clothes shops)  It  rapidly beco g one of South London  hottest places to live ,5
64136,The local   is beautiful  lots of cafes and restaurants  lovely high street shops  with a beautiful park   by  Very   to Oxford street and central London ,5
64138,Being only 9 miles from London City Airport and     to some of the most desirable tourist attractions such as British Museum  Camden and Oxford Circus  Guests can reach Goodge Street Station and Tottenham Court Road Tube Station   5     and it takes 45   to reach Heathrow Airport by car ,5
64153,This   surrounding your property is full of cafes  restaurants  shops  and supermarkets  making it easy to enjoy coffee  lunch  and dinner out   the vibrant    With our years of experience   London  we recommend visiting _ Gourmet Libanais  Buonasera and Rosa's Thai Clapham restaurants in the     or if you want to experience a British tradition  try out one of our London pubs  our favourites being The Round  and The Plough Clapham Junction    To further discover London heritage  you can also visit several museums like the British Museum  the Natural History Museum  the Victoria   Albert Museum  the Science Museum  and Leighton   Museum  all located   just a few   by   or public transport ,5
64155,We are on a peaceful street lined with pretty gardens and friendly faces  You can__ hear the road from our private back garden ,5
64170,Newington Green is a surprisingly quiet urban village  just a stone's throw from the hustle and bustle of Dalston  but with a lovely relaxed local feel  We rarely feel the need to leave the   in the evenings and weekends  between the local pubs  the plethora of brunch and dinner options  the local independent shops and the green spaces of local parks and even the Regents Canal  We'll leave you all our personal recommendations for the best local pubs  restaurants  cafes etc ,5
64182,Notting Hill  moments from Portobello Road/Market  the famous book shop from the movie where Julia Roberts met Hugh Grant  a large choice of bars  pubs and restaurants for all different occasions  Located   to transport (airports  train and underground stations) to get in/out and around London easily ,5
64183,Soho is one of most original and distinctive parts of the city and has historically been both a stimulus to and a consequence of its creative and artistic occupiers and residents  Soho is home to several historic theatres as   as more recent venues such as the Soho Theatre  So  it  a  place to take in a show   Soho benefits from a genuinely diverse mix of world cuisines and homegrown favourite with Michelin starred restaurants such as Arbutus  Yauatcha and Hakkasan nestled alongside smaller  independent cheap eats and bars   Though there are still signs of its seedier past if you look hard enough  Soho is now home mainly to affluent young media types most of who work in the   and who love the period town s  history-filled pubs  and buzzing independent restaurant scene  If you want to be in the thick of London's late-night bar scene and rubbing shoulders with London's hippest young things  then you're in the right place ,5
64185,We are an 11     from Southfields tube station on the district line  Right outside the   is a bus stop with buses every 5   to Clapham junction station and every 8   to Wimbledon  There  a nice pub 30 second   from the    King George  park is a 3       and Southside shopping centre and cineworld cinema are 5   by foot,5
64200,You will love this    This is a lively and safe   of central London  Enjoy     to restaurants with food of all kinds  or bars  cafes and the Thames river  This   is the coolest   in london  Best of all  this   is very safe  You don't have to worry about   around at night    for a few   and you can get to Thames River and unique London views ,5
64215, park (opposite street)  tube  shops  restaurants   less than 5       The peaceful   of Maida Vale is known for its famous Abbey Road  where the Beatles recorded their later albums  and took the photo for one of the iconic album covers of the twentieth century  The southern end of the  is marked by Regent  Canal and the   known as Little Venice  where a huge community of  boats form their own hippy village in the midst of some of London  most desirable property  On a very long list of attractions is surely the stunning array of properties in the    The wide winding streets of Little Venice are full of stucco fronted homes set back from the pavements and boasting views over the canals and _ although you__ never know on first glance _ wonderfully secret communal gardens  while Maida Vale  beautiful leafy avenues are lined with impressive period homes and mansion  s  The proximity of the BBC  Maida Vale studios means that ma,5
64220,There is an art gallery  and the Royal London Hospital Museum Jack the Ripper Museum are also popular tourist destinations  However the famous Tower Bridge and the Tower Of London are also very   to the apartment  There are a few more places that can be visited if you would like to explore  The famous Brick Lane is also very   by ,5
64221,This is a quite and friendly residential location    parks Canals Excellent transport links  Cale Gym and pool,5
64223,It is a vibrant    There are a famous pub  Off Licence  and take  around the corner ,5
64224,O2 Arena  River Thames path  Convenient location,5
64234,Southfields is a quiet  safe neighborhood of London  It has several restaurants  supermarket French bakery and a few pubs all in     ,5
64235,This is a vibrant   next to Green Lanes  There are some fabulous Turkish restaurants that people come for miles to eat at  There is also plenty of local grocery shops  bars and cafes and a larger supermarket         Also       are some lovely parks ,5
64237,This is one of the nicest s in London with lots to do and quick links to London attractions  The   is located just a few steps from Battersea Park  There is plenty of local restaurants and bars in the   where you can take a break and enjoy yourself  Natural History museum  V A Museum are a 20      if you fancy    Big Ben - 30   Buckingham Palace 28   Sloane Square (Saatchi Gallery) - 30    South Kensington - 30  ,5
64238,Enjoy a variety of supermarkets   just a 2-    to the Canning Town tube station  the apartment is   to the Royal Dock and the famous Excel Center ,5
64240,er London  England  United Kingdom Tesco Store 2       down the street and Pret  Starbucks and Rail station just 1     from you  Just moments   from world-famous Regent's Park and   few     from Marylebone Station and Baker Street  with access to Marble Arch and Mayfair amenities  including Oxford Circus ,5
64244,Grange Court is   easy reach of Crystal Palace (recently named the Sunday Times Best Placed to Live in London)  Dulwich  Forest Hill  Sydenham and Penge  Our favourites places  are     _ Crystal Palace Park  and its dinosaur park  sports centre  children's play    cafe  boating lake and maze - 5      _ Sydenham Hill and Dulwich Woods  the largest remaining tract of London's  North Wood  with over 200 species of trees and plants (10    )  _ Crystal Palace triangle  and its 50+ bars and restaurants and luxury Every Man Cinema - 14      _ Dulwich Village including the stunning Dulwich college and Dulwich Park and West Dulwich with  restaurants Dulwich Lyceum and Walter's Bar and Kitchen (25      5   drive)  _ the Horniman Museum and Gardens  an award winning natural history and anthropology museum (24      4   drive)  _ Fantastic transport links into central London (see below),5
64249,Excellent top  with up market bars/restaurants located at  trendy Northcote Road,5
64254,Hounslow Central is a safe and quiet   with lots of shops and easy access to Heathrow Airport and Central London ,5
64264,Our apartment is perfectly located in the heart of Central London/Soho in a safe and secure residential    With so   major London sights on your doorstep  you will not find a better location ,5
64283,The   is located in Kentish town (borough of camden)  there are plenty of shops   by and only 15     to camden market as    If you love the outdoors  you are also just 10    from one of London  most beautiful and largest park   Hamsptead heath,5
64284,Local Life The apartment is conveniently located moments from the shopping centre  bars and restaurants along The Broadway and is   easy reach of the lovely South Park Gardens   Wimbledon locals have kindly shared their favourite places to go      NYEAT restaurant and cocktail bar   HMV Curzon A cinema on Wimbledon's doorstep showing both arts and mainstream films    The William Morris Sat on the River Wandle  a traditional  warm and welco g pub  Serves a  Sunday roast  Perfect for a drink,5
64295,The apartment is located just a  ind   from Gwendwr Gardens and Marcus Garvey Park  perfect for a morning run or a calm   The are also a lot of shops  supermarkets around the property as   as cosy cafes and fancy restaurants  where you can have fantastic dinner or just enjoy a cup of coffee after a long   ,5
64309,The building is a beige colour with glass windows and grey darkish exterior    There is also a sign when entering the apartment complex by car that says 'Voyager   Apartments' The key safe boxes are located on the right hand side of the main building entrance ,5
64325,Covent Garden is one of the most popular and vibrant  s of London  ideally situated in the West End   There  plenty to do and   sights to see  with shopping  theatre  and culture right on the doorstep  not to mention the endless places to eat and drink   Stay right in the heart of London near the famous piazza whilst remaining   connected to the rest of city thanks to the numerous  transport links ,5
64328,_ Prime location in South Kensington (one of the most expensive and safest Neighborhoods in London)   _ extremely unique   - very bright with south facing aspect allowing lots of sun light to come in through the large sash windows     Another unique feature is all windows have no buildings blocking any window offerings excellent light and privacy - see photos   Stunning garden views         6-10   from natural history museum V A Museum   Imperial College London     10     to kensington gardens / Hyde park,5
64344,Quartier tr猫s centrale mais maison dans une rue tr猫s calme ,5
64352,绀惧__跺_______缓绔___勾_________瀵___浠ユ____璧蜂__介____扮_锛__寰__澶_锛__璧蜂_寰___句唬___瑷_棰ㄦ_锛_ _㈣淇氨_キ涓诲____典____,5
64358,The apartment is located in Marylebone  One of the most elegant neighborhoods in Central London  It's very  -connected and has amazing classy 5* restaurants and bars  Marylebone High Street is just 4         1     --> Harley Street 5     --> Regent's Park 5     --> Madame Tussaud's 5     --> Baker Street 5     --> Marylebone High Street 8     --> Oxford Street,5
64368,Wildcard or double shot for nearest coffee  Moberley sports centre has a gym and swim g pool  Good restaurants  (excluding Notting Hill) include parlour  Vicki  for lunch  Ida for Italian  Milk Beach and Carmel on Lonsdale Road  For drinks try Salisbury wine bar  Whippet Inn or Wolfpack  There is a market every Sunday at the school on the corner of Salisbury and Lonsdale Road  M S near QP station or Tesco on chamberlayne Rd are the nearest bigger grocery stores ,5
64375,There is a local pub at the end of the road and also a reasonably good Indian take  and very good pizza restaurant   We are also very   to the quirky cafe scene @ Newington Green   The   is short   or bus ride to the beautiful Clissold Park in the heart of Stoke Newington  There are loads of restaurants  pubs and shops on Stoke Newington Church Street   We are 7     to Canonbury Overground station which is only 1-stop from Highbury   Islington Underground station that serves the Victoria line to central London   We are 15     from the heart of Dalston  which has proper nightlife  with late night restaurants  bars and clubs  Angel's shops are also about 15/20         There are some nice   very green short  s in the   I can point out to you  if you are interested,5
64376,Notting Hill and Portobello Road are one of London  most vibrant and trendy s  featuring tree-lined streets  beautiful garden squares  and stunning victorian homes  and famed for an eclectic mix of celebrity residents  fashionistas  and creatives  as   as high-end restaurants and upscale boutiques   There  plenty to see and do in the   with the world-famous Portobello Road Market on your doorstep  and a short     you can visit the beautiful Kensington Palace and Kensington Gardens where Royals Prince William and Kate Middleton reside   Be sure to make time to grab a drink or brunch on the patio at Beach Blanket Babylon on Ledbury Road which is a favourite with the cast of Made in Chelsea  and a decadent experience not to be missed ,5
64384,Residential   5    to Kingston shops and 15    to a mainline train station,5
64389,Tottenham Hale is an up and co g part of London with a strong  friendly community  There's loads on offer from New breweries and tasty new restaurants to the local community cafe in the park  Tottenham Marshes (8    ) is a  spot to get out into nature  Oh and don't forget to go boat spotting along the canal ,5
64390,If you are looking for a  location in the centre of London  this apartment is perfect for you  Located in the prestigious Marylebone district of London not far from the famous Madame Tussaud's Museum and the British Museum        of cafes  restaurants and supermarkets ,5
64391,We're perfectly positioned in trendy east London  a short   from Victoria Park  the beautiful Regent's Canal and independent shops and cafes on Roman Road  A short   to Mile End underground station means we are also a quick tube ride   from all the Central London sights  with a direct line to Paddington  Kings Cross  Liverpool Street and Euston    You can stroll along the canal to Hackney Wick and Stratford Olympic Park  or down to the Thames basin and Canary Wharf  Victoria Park Village  Broadway Market and Bethnal Green are all   by ,5
64392,Spacious living-room with a modern   screen TV and fireplace  For those who need to do some work  there are two work-stations with monitors set up (one Mac and one Samsung)  A large  6 person dining table is directly behind   Open-concept kitchen with a dishwasher  washer  dryer  and coffee machine  All essentials for cooking are also included   One en-suite double bedroom  with a very comfortable Super King bed for a  night's rest after a day of exploring   Another King Bed can be found in the second double room  with a bathroom just down the hall   **Please note that to use the computer monitors or TVs  you need your own computer to connect to it  We will provide the HDMI cables and USB-C connectors ,5
64408,Notting Hill and Portobello Road are one of London  most vibrant and trendy s  featuring tree-lined streets  beautiful garden squares  and stunning victorian homes  and famed for an eclectic mix of celebrity residents  fashionistas  and creatives  as   as high-end restaurants and upscale boutiques   There  plenty to see and do in the   with the world-famous Portobello Road Market on your doorstep  and a short     you can visit the beautiful Kensington Palace and Kensington Gardens where Royals Prince William and Kate Middleton reside   Be sure to make time to grab a drink or brunch on the patio at Beach Blanket Babylon on Ledbury Road which is a favourite with the cast of Made in Chelsea  and a decadent experience not to be missed ,5
64412,Hackney Wick is a vibrant creative   that began with artists converting industrial ware s into work - live studio spaces  Hackney Wick features a number of bars  restaurants and cultural venues with something interesting happening almost every night of the week ,5
64415,West Kensington was one of London  best-kept secrets  It gives residents easy access to both the luxury and prestige of Kensington and the bustling commerce of Hammersmith  West Kensington is itself a  -established   with a history spanning centuries  It has exceptional Victorian architecture  leading to the preservation of    s and even entire streets as listed buildings ,5
64416,Surrounded by garden squares  this pied-_-terre sits in one of London's most affluent s  You can   to the museums and Harrods  You are also surrounded by niche coffee shops and up market  locally owned restaurants and shops where you can source anything you would ever need for your time in London   Hyde Park  Chelsea and Knightsbridge  Harrods are all   a 10     ,5
64419,A really fun   friendly multi-cultural    Chatsworth Rd is a 5        home to shops  cafes   restaurants  On Sunday they hold a brilliant market  We__e surrounded by greenery  Millfield  Park with its playground  Hackney Marshes   the Lee Valley canal are a 10        There  plenty to keep you busy in the local   plus you are only 30   from Central London to really take advantage of everything London has to offer ,5
64422,The studio is located in a prestigious  of London with a lot of shops  supermarkets around the property as   as cosy cafes and fancy restaurants where you can have fantastic dinner or just enjoy a cup of coffee after a long   ,5
64433,For leisure time  the iconic Parliament Hill lookout  with its magnificent London views  leading to Hampstead Heath is a gentle stroll    There are fine bars and restaurants galore in Kentish Town and in  Highgate  starting with the local  Vine and the popular family-run Rosella restaurant across the street ,5
64460,With an abundance of world famous tourist attractions including Natural History museum and Kensington Palace   famous shopping center Harrods  beautiful Kensington Gardens and Hyde Park and   more wonderful places to visit  Kensington is an incredibly popular tourist destination   The  of Earl's Court is a delightfully   kept secret located between South Kensington and Fulham  The   is flourishing with a fantastic range of cafes  restaurants and other amenities  Venture past the high street  and you'll be greeted by restaurants and local businesses from around the world   Kensington and Chelsea is a fantastic launching point for discovering the best of central London  Thanks to the  Earls Court tube station  you are always     from   world famous tourist attractions  Hop on the Circle or District lines to visit Notting Hill or one of the world-class museums of South Kensington  or take the Piccadilly line to visit Harrods shop,5
64473,Tooting is a vibrant   also conveniently accessible to Central London ,5
64477,My place is in Paddington - a vibrant  cosmopolitan  with lots to do  Take a stroll around Kensington Palace  where you can view the State apartments  galleries and grounds for a real insight into royal life  From there  head over to the Serpentine Gallery in Hyde Park  a favourite place for modern and contemporary art  For those of a more scientific bent  the Alexander Fle g Laboratory Museum is in Paddington  where you can see the laboratory in which Fle g discovered penicillin  If nostalgia appeals pop over to the Museum of Brands and Packaging near Notting Hill  The Print Room is an arts space in an old Coronet cinema  The building is home to a vibrant fringe theatre and the plan is to restore the cinema itself as    Every Sunday Bayswater Road becomes one big art gallery  with more than 150 artists and craftspeople displaying their work  The Odeon cinema in the Whiteleys Shopping Centre offers luxury and exclusive cinema experience in The Lounge  Lond,5
64483,Self Catered Recently refurbished  stunning ground studio apartment   for a single traveller or couple looking for a safe  quiet and beautiful environment  The studio has its own private bathroom and kitchenette and its stocked with all the basic requirements needed for simple meals   Located in the posh Notting Hill   the market stretches down the long Portobello Road  considered to be the high street (or main street) of Notting Hill  It is an adorably colourful location ,5
64484,This property is situated on the iconic Lower Marsh street which has been a market street since 1850   Located a few     from Waterloo station and the London Eye  the central location is perfect for your stay in London ,5
64510,Islington residents are as likely to be found searching for antiques in Camden Passage as they are tucking into some tasty international food from Exmouth Market  or sipping cocktails in a not so secret bar  Although it is only 10   from the centre of the Capital and is now home to a good smattering of chains  Islington has managed to maintain its  character  as   as the individuality of   of its shops  bars and restaurants  Its   established theatres and arts venues have gone from strength to strength  and continue to showcase the best of British drama  dance  and art ,5
64513,It  a quiet    bus can take you to Southfields station ( district line) or by   it is 15   approx) shop is at the end of the street -5    Parking is free around the   that is a big plus in London ,5
64518,London is 11 8 miles from the homestay  while Luton is 28 miles from the property and Stansted is 70 miles    The nearest airport is London Heathrow Airport   only 1 9 miles   from the airport  The next underground train station is Hatton Cross is 1 2 miles    providing direct access to Central London ,5
64525,West Kensington was one of London  best-kept secrets  It gives residents easy access to both the luxury and prestige of Kensington and the bustling commerce of Hammersmith  West Kensington is itself a  -established   with a history spanning centuries  It has exceptional Victorian architecture  leading to the preservation of    s and even entire streets as listed buildings ,5
64530,Enjoy Shoreditch  the capital of culture  fashion  street food   technology    by the river thames  or dine at europe's finest restaurants in the Gherkin  or the Shard ,5
